# ACE/gr parameter file
#
@    version 50122
@    world xmin 0.25
@    world xmax 0.75
@    title font 5
@    xaxis  tick major 0.1
@    xaxis  tick minor 0.02
@    xaxis  label "(r-r\s1\N)/d"
@    xaxis  label font 5
@    xaxis  label char size 1.2
@    xaxis  ticklabel font 4
@    xaxis  ticklabel char size 1
@    yaxis  tick major .1
@    yaxis  tick minor .02
@    yaxis  label font 4
@    yaxis  label char size 1.2
@    yaxis  ticklabel font 5
@    yaxis  ticklabel char size 1
@    title "density between neighbors"
@    yaxis  label "n(r) (electrons/bohr\S3\N)"
@    world ymin .0
@    world ymax .2
@    yaxis  tick major .05
@    yaxis  tick minor 0.01
@ s0 color  1
@ s0 linestyle  1
@ legend string 0 "(1)-(1)"
@target s0
@type xy
  .1000000000  .4531086406
  .1050000000  .4370167641
  .1100000000  .4191821209
  .1150000000  .4001333409
  .1200000000  .3803011674
  .1250000000  .3600102130
  .1300000000  .3397071301
  .1350000000  .3195706264
  .1400000000  .2998688817
  .1450000000  .2807392402
  .1500000000  .2623126513
  .1550000000  .2446875697
  .1600000000  .2279247667
  .1650000000  .2120342316
  .1700000000  .1970286136
  .1750000000  .1829181966
  .1800000000  .1697246297
  .1850000000  .1573792072
  .1900000000  .1458525523
  .1950000000  .1351103173
  .2000000000  .1251145120
  .2050000000  .1158247033
  .2100000000  .1071990755
  .2150000000  .0991953461
  .2200000000  .0917715375
  .2250000000  .0848866092
  .2300000000  .0785196990
  .2350000000  .0726559391
  .2400000000  .0672217883
  .2450000000  .0621821307
  .2500000000  .0575043085
  .2550000000  .0531581803
  .2600000000  .0491677592
  .2650000000  .0454872928
  .2700000000  .0420592324
  .2750000000  .0388619296
  .2800000000  .0359318569
  .2850000000  .0332257463
  .2900000000  .0306915918
  .2950000000  .0283399145
  .3000000000  .0261957211
  .3050000000  .0241778082
  .3100000000  .0223022633
  .3150000000  .0205924048
  .3200000000  .0189744179
  .3250000000  .0174888410
  .3300000000  .0161137053
  .3350000000  .0148052614
  .3400000000  .0136377065
  .3450000000  .0125209164
  .3500000000  .0114967782
  .3550000000  .0105438519
  .3600000000  .0096475682
  .3650000000  .0088346123
  .3700000000  .0080523588
  .3750000000  .0073589372
  .3800000000  .0066844083
  .3850000000  .0060871905
  .3900000000  .0055083790
  .3950000000  .0049938422
  .4000000000  .0044973373
  .4050000000  .0040569976
  .4100000000  .0036314711
  .4150000000  .0032579719
  .4200000000  .0028938744
  .4250000000  .0025809059
  .4300000000  .0022715980
  .4350000000  .0020124198
  .4400000000  .0017576029
  .4450000000  .0015412969
  .4500000000  .0013366673
  .4550000000  .0011581912
  .4600000000  .0010003480
  .4650000000  .0008553474
  .4700000000  .0007417947
  .4750000000  .0006294436
  .4800000000  .0006026766
  .4850000000  .0005415048
  .4900000000  .0004979816
  .4950000000  .0004719370
  .5000000000  .0004632670
  .5050000000  .0004719370
  .5100000000  .0004979816
  .5150000000  .0005415048
  .5200000000  .0006026766
  .5250000000  .0006294436
  .5300000000  .0007417947
  .5350000000  .0008553474
  .5400000000  .0010003480
  .5450000000  .0011581912
  .5500000000  .0013366673
  .5550000000  .0015412969
  .5600000000  .0017576029
  .5650000000  .0020124198
  .5700000000  .0022715980
  .5750000000  .0025809059
  .5800000000  .0028938744
  .5850000000  .0032579719
  .5900000000  .0036314711
  .5950000000  .0040569976
  .6000000000  .0044973373
  .6050000000  .0049938422
  .6100000000  .0055083790
  .6150000000  .0060871905
  .6200000000  .0066844083
  .6250000000  .0073589372
  .6300000000  .0080523588
  .6350000000  .0088346123
  .6400000000  .0096475682
  .6450000000  .0105438519
  .6500000000  .0114967782
  .6550000000  .0125209164
  .6600000000  .0136377065
  .6650000000  .0148052614
  .6700000000  .0161137053
  .6750000000  .0174888410
  .6800000000  .0189744179
  .6850000000  .0205924048
  .6900000000  .0223022633
  .6950000000  .0241778082
  .7000000000  .0261957211
  .7050000000  .0283399145
  .7100000000  .0306915918
  .7150000000  .0332257463
  .7200000000  .0359318569
  .7250000000  .0388619296
  .7300000000  .0420592324
  .7350000000  .0454872928
  .7400000000  .0491677592
  .7450000000  .0531581803
  .7500000000  .0575043085
  .7550000000  .0621821307
  .7600000000  .0672217883
  .7650000000  .0726559391
  .7700000000  .0785196990
  .7750000000  .0848866092
  .7800000000  .0917715375
  .7850000000  .0991953461
  .7900000000  .1071990755
  .7950000000  .1158247033
  .8000000000  .1251145120
  .8050000000  .1351103173
  .8100000000  .1458525523
  .8150000000  .1573792072
  .8200000000  .1697246297
  .8250000000  .1829181966
  .8300000000  .1970286136
  .8350000000  .2120342316
  .8400000000  .2279247667
  .8450000000  .2446875697
  .8500000000  .2623126513
  .8550000000  .2807392402
  .8600000000  .2998688817
  .8650000000  .3195706264
  .8700000000  .3397071301
  .8750000000  .3600102130
  .8800000000  .3803011674
  .8850000000  .4001333409
  .8900000000  .4191821209
  .8950000000  .4370167641
&
@ s1 color  1
@ s1 linestyle  1
@target s1
@type xy
  .4753856227 -10.000
  .4753856227  10.000
  .5246143772  10.000
  .5246143772 -10.000
&
